timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
479591513,479590413,31044075,49.078753500000005,2.2543773,-0.91954416,-2.135399,2.208753,-0.0069100135,-0.00015225113,0.25713933,-0.015507776,-0.0046451986,0.021991504,0.02489168,-0.036898524,0.010050106,0.041895274,0.24110234,0.17646435,-0.23193912,-0.5307487,0.01776818,99.7061,0.1,0.36079657,0.39347595,0.14500219,0.10600486,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479601824,479600417,31044075,49.078753500000005,2.2543773,-0.91970694,-2.135662,2.2088773,-0.0069100135,-0.00015225113,0.25713933,-0.016400414,-0.0045706225,0.022158815,0.024917131,-0.036898524,0.010050106,0.041895274,0.049069386,-0.026132343,-0.12961788,-0.53076726,0.01776818,99.7061,0.1,0.3616762,0.3941615,0.14545429,0.10619385,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479611713,479610426,31044075,49.078753500000005,2.2543773,-0.91986436,-2.1359153,2.2089624,-0.0069100135,-0.00015225113,0.25713933,-0.016102593,-0.004857207,0.022050023,0.024626449,-0.036898524,0.010050106,0.041895274,-0.012834957,-0.035817947,-0.21482128,-0.5310659,0.01776818,99.7061,0.1,0.36256078,0.3923604,0.14591314,0.10610193,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479621977,479620430,31044075,49.078753500000005,2.2543773,-0.9200053,-2.136169,2.209062,-0.0069100135,-0.00015225113,0.25713933,-0.014491443,-0.006763207,0.023211118,0.025612455,-0.036898524,0.010050106,0.041895274,-0.022880007,-0.15393086,-0.28617564,-0.531546,0.01776818,99.7061,0.1,0.36345044,0.39304608,0.14637406,0.106291115,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479631622,479630438,31044075,49.078753500000005,2.2543773,-0.92012453,-2.1364064,2.2091641,-0.0069100135,-0.00015225113,0.25713933,-0.013154725,-0.0040321304,0.021828134,0.02406094,-0.036898524,0.010050106,0.041895274,-0.2067771,0.22100587,-0.50146955,-0.5320097,0.01776818,99.7061,0.1,0.36434516,0.393734,0.1468253,0.10648062,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479644797,479640447,31044075,49.078753500000005,2.2543773,-0.92008257,-2.1366084,2.2094722,-0.0069100135,-0.00015225113,0.25713933,-0.01407593,-0.004282819,0.021885207,0.024175154,-0.036898524,0.010050106,0.041895274,-0.17382272,-0.18280597,-0.24642256,-0.53241724,0.01776818,99.7061,0.1,0.3483545,0.38998935,0.13787916,0.103793174,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479651600,479650453,31044075,49.078753500000005,2.2543773,-0.92004275,-2.1368034,2.2097936,-0.0069100135,-0.00015225113,0.25713933,-0.012754988,-0.005144369,0.02584034,0.028183958,-0.036898524,0.010050106,0.041895274,0.11475001,-0.30131698,0.28003776,-0.5326816,0.01776818,99.7061,0.1,0.34915736,0.3906524,0.13831463,0.10398064,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479662213,479660461,31044075,49.078753500000005,2.2543773,-0.91997033,-2.1369874,2.2101443,-0.0069100135,-0.00015225113,0.25713933,-0.008632571,-0.0021228152,0.022132374,0.024553888,-0.036898524,0.010050106,0.041895274,0.12629999,0.48011443,-0.6114111,-0.5326958,0.01776818,99.7061,0.1,0.34996492,0.38889447,0.13875762,0.10390432,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479671583,479670468,31044075,49.078753500000005,2.2543773,-0.9199008,-2.1371372,2.2104712,-0.0069100135,-0.00015225113,0.25713933,-0.01155021,-0.0029237624,0.023393348,0.025888316,-0.036898524,0.010050106,0.041895274,-0.30506843,-0.43250397,0.20401141,-0.53259975,0.01776818,99.7061,0.1,0.35077727,0.38955775,0.13920066,0.10409196,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479682217,479680476,31044075,49.078753500000005,2.2543773,-0.91984224,-2.1372936,2.2108226,-0.0069100135,-0.00015225113,0.25713933,-0.011330604,-0.004146682,0.028310658,0.030874815,-0.036898524,0.010050106,0.041895274,-0.18098488,-0.24169219,0.6921711,-0.5323168,0.01776818,99.7061,0.1,0.3515944,0.39022318,0.1396414,0.10427994,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
