timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
143243739,inf,0,1,1,1,0,0,1,0,0,1
144245197,inf,0,1,1,1,0,0,1,0,0,1
145245419,inf,0,1,1,1,0,0,1,0,0,1
146245765,inf,0,1,1,1,0,0,1,0,0,1
147247357,inf,0,1,1,1,0,0,1,0,0,1
148250109,inf,0,1,1,1,0,0,1,0,0,1
149250580,inf,0,1,1,1,0,0,1,0,0,1
150252042,inf,0,1,1,1,0,0,1,0,0,1
152253781,inf,0,1,1,1,0,0,1,0,0,1
153253873,inf,0,1,1,1,0,0,1,0,0,1
154254402,inf,0,1,1,1,0,0,1,0,0,1
155254618,inf,0,1,1,1,0,0,1,0,0,1
156254957,inf,0,1,1,1,0,0,1,0,0,1
157255319,inf,0,1,1,1,0,0,1,0,0,1
158255527,inf,0,1,1,1,0,0,1,0,0,1
159255653,inf,0,1,1,1,0,0,1,0,0,1
160255912,inf,0,1,1,1,0,0,1,0,0,1
161256404,inf,0,1,1,1,0,0,1,0,0,1
162256556,inf,0,1,1,1,0,0,1,0,0,1
163258207,inf,0,1,1,1,0,0,1,0,0,1
164259802,inf,0,1,1,1,0,0,1,0,0,1
165261768,inf,0,1,1,1,0,0,1,0,0,1
166271594,inf,0,1,1,1,0,0,1,0,0,1
167273112,inf,0,1,1,1,0,0,1,0,0,1
168276033,inf,0,1,1,1,0,0,1,0,0,1
169276330,inf,0,1,1,1,0,0,1,0,0,1
170276663,inf,0,1,1,1,0,0,1,0,0,1
171278256,inf,0,1,1,1,0,0,1,0,0,1
172278364,inf,0,1,1,1,0,0,1,0,0,1
173278540,inf,0,1,1,1,0,0,1,0,0,1
174278869,inf,0,1,1,1,0,0,1,0,0,1
175279247,inf,0,1,1,1,0,0,1,0,0,1
176279602,inf,0,1,1,1,0,0,1,0,0,1
177281207,inf,0,1,1,1,0,0,1,0,0,1
178281974,inf,0,1,1,1,0,0,1,0,0,1
179283471,inf,0,1,1,1,0,0,1,0,0,1
180285264,inf,0,1,1,1,0,0,1,0,0,1
181287986,inf,0,1,1,1,0,0,1,0,0,1
182298283,inf,0,1,1,1,0,0,1,0,0,1
183299241,inf,0,1,1,1,0,0,1,0,0,1
184299630,inf,0,1,1,1,0,0,1,0,0,1
185302080,inf,0,1,1,1,0,0,1,0,0,1
186303867,inf,0,1,1,1,0,0,1,0,0,1
187312402,inf,0,1,1,1,0,0,1,0,0,1
188321867,inf,0,1,1,1,0,0,1,0,0,1
189322274,inf,0,1,1,1,0,0,1,0,0,1
190322648,inf,0,1,1,1,0,0,1,0,0,1
191322980,inf,0,1,1,1,0,0,1,0,0,1
192325148,inf,0,1,1,1,0,0,1,0,0,1
193326242,inf,0,1,1,1,0,0,1,0,0,1
194327753,inf,0,1,1,1,0,0,1,0,0,1
195329267,inf,0,1,1,1,0,0,1,0,0,1
196330725,inf,0,1,1,1,0,0,1,0,0,1
197330959,inf,0,1,1,1,0,0,1,0,0,1
198333259,inf,0,1,1,1,0,0,1,0,0,1
200334466,inf,0,1,1,1,0,0,1,0,0,1
201335317,inf,0,1,1,1,0,0,1,0,0,1
202335845,inf,0,1,1,1,0,0,1,0,0,1
203336188,inf,0,1,1,1,0,0,1,0,0,1
204336548,inf,0,1,1,1,0,0,1,0,0,1
205346365,inf,0,1,1,1,0,0,1,0,0,1
206347744,inf,0,1,1,1,0,0,1,0,0,1
207348224,inf,0,1,1,1,0,0,1,0,0,1
208349738,inf,0,1,1,1,0,0,1,0,0,1
209349746,inf,0,1,1,1,0,0,1,0,0,1
210350252,inf,0,1,1,1,0,0,1,0,0,1
211350507,inf,0,1,1,1,0,0,1,0,0,1
212350818,inf,0,1,1,1,0,0,1,0,0,1
213351229,inf,0,1,1,1,0,0,1,0,0,1
214352787,inf,0,1,1,1,0,0,1,0,0,1
215354304,inf,0,1,1,1,0,0,1,0,0,1
216355993,inf,0,1,1,1,0,0,1,0,0,1
217356354,inf,0,1,1,1,0,0,1,0,0,1
218358427,inf,0,1,1,1,0,0,1,0,0,1
219368811,inf,0,1,1,1,0,0,1,0,0,1
220369112,inf,0,1,1,1,0,0,1,0,0,1
221370350,inf,0,1,1,1,0,0,1,0,0,1
222370507,inf,0,1,1,1,0,0,1,0,0,1
224371937,inf,0,1,1,1,0,0,1,0,0,1
225382356,inf,0,1,1,1,0,0,1,0,0,1
226392543,inf,0,1,1,1,0,0,1,0,0,1
227402050,inf,0,1,1,1,0,0,1,0,0,1
228402238,inf,0,1,1,1,0,0,1,0,0,1
229402710,inf,0,1,1,1,0,0,1,0,0,1
230403076,inf,0,1,1,1,0,0,1,0,0,1
231404778,inf,0,1,1,1,0,0,1,0,0,1
232406135,inf,0,1,1,1,0,0,1,0,0,1
233406280,inf,0,1,1,1,0,0,1,0,0,1
234407925,inf,0,1,1,1,0,0,1,0,0,1
235409514,inf,0,1,1,1,0,0,1,0,0,1
