timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
6130552,6129586,396809,0.15231077,-0.19428325,0.4617815,3
6151774,6150807,396809,0.15096329,-0.1949826,0.4561724,3
6172995,6172029,396809,0.1524491,-0.19350474,0.4569229,3
6194228,6193252,396809,0.15541399,-0.19345596,0.4568388,3
6215453,6214485,396809,0.15161158,-0.1942795,0.46018565,3
6237121,6236154,396809,0.1540068,-0.19272575,0.45444754,3
6258388,6257419,396809,0.15477787,-0.19342834,0.4528176,3
6279713,6278695,396809,0.15394373,-0.19274963,0.45687288,3
6300911,6299920,396809,0.1538773,-0.194227,0.4585057,3
6322139,6321165,396809,0.15228975,-0.1942912,0.46258995,3
6343760,6342785,396809,0.15324119,-0.19419937,0.4544845,3
6364974,6364005,396809,0.15467277,-0.19346815,0.45685983,3
6386220,6385229,396809,0.1554228,-0.19417872,0.45603833,3
6407741,6406650,396809,0.15617622,-0.1934358,0.45600933,3
6428993,6427997,396809,0.15403664,-0.19344054,0.4528386,3
6450662,6449692,396809,0.15535975,-0.1942026,0.45846364,3
6471877,6470913,396809,0.1538773,-0.194227,0.4585057,3
6493098,6492134,396809,0.1546938,-0.1934602,0.45605138,3
6514325,6513357,396809,0.15481992,-0.19341241,0.4512007,3
6535544,6534579,396809,0.1554228,-0.19417872,0.45603833,3
6557242,6556196,396809,0.1539946,-0.19345647,0.4544555,3
6578442,6577449,396809,0.156143,-0.19417448,0.45682573,3
6599673,6598701,396809,0.15395257,-0.1934724,0.4560724,3
6620894,6619930,396809,0.1546938,-0.1934602,0.45605138,3
6642117,6641151,396809,0.1540068,-0.19272575,0.45444754,3
6663804,6662805,396809,0.15380879,-0.19207467,0.46252403,3
6685066,6684067,396809,0.15321136,-0.19348459,0.4560934,3
6706325,6705330,396809,0.15386511,-0.1949577,0.45851365,3
6727571,6726579,396809,0.15467277,-0.19346815,0.45685983,3
6748929,6747907,396809,0.1539946,-0.19345647,0.4544555,3
6770483,6769520,396809,0.15379322,-0.19425885,0.46173948,3
6791707,6790740,396809,0.15393154,-0.19348036,0.45688084,3
6812927,6811964,396809,0.15325339,-0.19346866,0.45447654,3
6834206,6833240,396809,0.15317813,-0.19422325,0.45690984,3
6855434,6854470,396809,0.15607111,-0.19347562,0.46005157,3
6877112,6876089,396809,0.15085272,-0.19284621,0.46180764,3
6898556,6897583,396809,0.15231077,-0.19428325,0.4617815,3
6919776,6918808,396809,0.15235281,-0.19426732,0.46016464,3
6940998,6940032,396809,0.15246129,-0.19277403,0.4569149,3
6962227,6961255,396809,0.15165363,-0.19426358,0.45856875,3
6983927,6982929,396809,0.15023425,-0.19426408,0.45618546,3
7005121,7004156,396809,0.15246129,-0.19277403,0.4569149,3
7026499,7025462,396809,0.15330762,-0.19272202,0.45285168,3
7047741,7046751,396809,0.15262064,-0.19198757,0.45124784,3
7068999,7068001,396809,0.15180752,-0.19130091,0.45449468,3
7090663,7089693,396809,0.15102972,-0.19350524,0.4545396,3
7111903,7110936,396809,0.1508073,-0.1943156,0.462632,3
7133160,7132158,396809,0.1517289,-0.19350898,0.45613545,3
7154464,7153468,396809,0.1514943,-0.19505005,0.46423584,3
7175695,7174729,396809,0.15022543,-0.19354133,0.45698595,3
7197310,7196345,396809,0.1524016,-0.19134445,0.46013278,3
7218541,7217574,396809,0.15025865,-0.19280265,0.45616955,3
7239776,7238801,396809,0.15109615,-0.1920279,0.45290676,3
7261014,7260035,396809,0.15543838,-0.19199453,0.45682287,3
7282238,7281268,396809,0.15166584,-0.19353287,0.4585608,3
7303864,7302898,396809,0.15100324,-0.19133699,0.45694104,3
7325129,7324122,396809,0.14877622,-0.19282705,0.45621157,3
7346323,7345344,396809,0.15173227,-0.19205551,0.45692798,3
7367546,7366581,396809,0.14941232,-0.19285467,0.46023276,3
7389085,7388087,396809,0.15164818,-0.19208737,0.46016175,3
7410701,7409736,396809,0.15096666,-0.19352913,0.4569649,3
7431980,7430990,396809,0.15337068,-0.19269814,0.45042634,3
7453199,7452236,396809,0.15241925,-0.19278996,0.4585318,3
7474443,7473456,396809,0.15326558,-0.19273795,0.45446855,3
7495709,7494700,396809,0.15321136,-0.19348459,0.4560934,3
7517858,7516867,396809,0.15319033,-0.19349255,0.45690185,3
7539223,7538198,396809,0.15252435,-0.19275014,0.4544896,3
7560457,7559484,396809,0.1524491,-0.19350474,0.4569229,3
7581718,7580715,396809,0.15460087,-0.1927693,0.46008563,3
7602972,7601970,396809,0.15460087,-0.1927693,0.46008563,3
7624589,7623621,396809,0.15402444,-0.19417125,0.4528466,3
7645821,7644849,396809,0.15471819,-0.19199876,0.45603544,3
7667077,7666109,396809,0.15248232,-0.19276607,0.45610648,3
7688414,7687390,396809,0.1517289,-0.19350898,0.45613545,3
7709590,7708624,396809,0.15302762,-0.19573247,0.4617764,3
7731204,7730238,396809,0.15381087,-0.19570436,0.4601385,3
7752428,7751460,396809,0.15313609,-0.19423918,0.4585267,3
7773692,7772695,396809,0.15230195,-0.19356048,0.462582,3
7794887,7793919,396809,0.1525298,-0.19492635,0.4528966,3
7816110,7815144,396809,0.15550688,-0.19414686,0.45280454,3
7837742,7836777,396809,0.15395257,-0.1934724,0.4560724,3
7859044,7858032,396809,0.15621826,-0.19341987,0.45439243,3
7880249,7879254,396809,0.15618841,-0.1927051,0.45600137,3
7901507,7900508,396809,0.15459415,-0.19567622,0.4585006,3
7922772,7921768,396809,0.15535975,-0.1942026,0.45846364,3
7944403,7943435,396809,0.15749931,-0.19419788,0.46163437,3
7965663,7964694,396809,0.15379322,-0.19425885,0.46173948,3
7986889,7985914,396809,0.1561308,-0.19490519,0.4568337,3
8008410,8007325,396809,0.1546694,-0.19492163,0.4560673,3
8029784,8028707,396809,0.15615183,-0.19489723,0.45602524,3
8051287,8050321,396809,0.1562603,-0.19340394,0.45277554,3
8072509,8071540,396809,0.15542617,-0.19272524,0.45683083,3
8093750,8092781,396809,0.1531483,-0.19350848,0.45851874,3
8114974,8114004,396809,0.15530005,-0.19277303,0.46168151,3
8136209,8135237,396809,0.1554228,-0.19417872,0.45603833,3
8157818,8156855,396809,0.15698932,-0.19412246,0.45276248,3
8179069,8178079,396809,0.15461853,-0.19421479,0.45848468,3
8200283,8199314,396809,0.15621826,-0.19341987,0.45439243,3
8221501,8220536,396809,0.15611316,-0.19345969,0.45843467,3
8242719,8241756,396809,0.15781799,-0.19262496,0.45030022,3
8264477,8263478,396809,0.15621826,-0.19341987,0.45439243,3
8285735,8284738,396809,0.15695949,-0.19340768,0.45437142,3
8307101,8306072,396809,0.15620606,-0.1941506,0.4544004,3
8328323,8327349,396809,0.15394036,-0.19420311,0.45608035,3
8349549,8348580,396809,0.15395257,-0.1934724,0.4560724,3
8371161,8370195,396809,0.15680014,-0.19419414,0.4600385,3
8392390,8391421,396809,0.15542617,-0.19272524,0.45683083,3
8413692,8412695,396809,0.15477787,-0.19342834,0.4528176,3
8434889,8433921,396809,0.15774274,-0.19337955,0.45273352,3
