timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
31715312,31715028,3670026,-0.40701428,0.02777274,-9.934979,36.035496,0,0,0,0,5
31719051,31718762,3670026,-0.4261679,0.046926353,-9.907685,35.986534,0,0,0,0,5
31722779,31722503,3670026,-0.43143514,0.032561142,-9.914868,36.050182,0,0,0,0,5
31727774,31727480,3670026,-0.4687847,-0.0067037647,-9.954612,36.05508,0,0,0,0,5
31730243,31729961,3670026,-0.5037401,0.004309563,-9.931149,36.0306,0,0,0,0,5
31733976,31733696,3670026,-0.53486466,-0.030645782,-9.9550905,36.05508,0,0,0,0,5
31737710,31737428,3670026,-0.5449203,-0.031603463,-9.946951,36.07956,0,0,0,0,5
31740201,31739918,3670026,-0.54683566,-0.07757214,-9.934979,35.991432,0,0,0,0,5
31743935,31743653,3670026,-0.59184664,-0.13934255,-9.945992,36.001225,0,0,0,0,5
31747666,31747383,3670026,-0.5731719,-0.14269443,-9.931149,36.069767,0,0,0,0,5
31751398,31751118,3670026,-0.5621586,-0.14748283,-9.974723,36.050182,0,0,0,0,5
31753905,31753606,3670026,-0.56120086,-0.10151415,-9.960836,35.952263,0,0,0,0,5
31757615,31757338,3670026,-0.58945245,-0.12210429,-9.927797,36.059975,0,0,0,0,5
31761344,31761072,3670026,-0.59663504,-0.1091756,-9.877997,36.01591,0,0,0,0,5
31765079,31764805,3670026,-0.5995081,-0.14221558,-9.854534,36.069767,0,0,0,0,5
31768826,31768542,3670026,-0.6090849,-0.18243816,-9.788933,36.074665,0,0,0,0,5
31771307,31771027,3670026,-0.55880666,-0.18722658,-9.775046,36.050182,0,0,0,0,5
31775040,31774760,3670026,-0.54444146,-0.15322891,-9.729557,36.045288,0,0,0,0,5
31778777,31778495,3670026,-0.5904102,-0.19584571,-9.681673,36.05508,0,0,0,0,5
31782503,31782228,3670026,-0.63781536,-0.18052281,-9.623255,36.045288,0,0,0,0,5
31787501,31787212,3670026,-0.5932832,-0.16903064,-9.598354,36.064873,0,0,0,0,5
31789973,31789693,3670026,-0.58466405,-0.19823991,-9.606495,36.0306,0,0,0,0,5
31792468,31792186,3670026,-0.63589996,-0.17429788,-9.591651,36.05508,0,0,0,0,5
31797444,31797162,3670026,-0.59663504,-0.22840685,-9.583032,36.0306,0,0,0,0,5
31799932,31799649,3670026,-0.57700264,-0.17286137,-9.599792,36.01591,0,0,0,0,5
31803677,31803385,3670026,-0.5635951,-0.20494367,-9.560526,36.035496,0,0,0,0,5
31807394,31807115,3670026,-0.53965306,-0.2006341,-9.540894,36.035496,0,0,0,0,5
31809889,31809605,3670026,-0.52863973,-0.24181437,-9.533711,36.011017,0,0,0,0,5
31814876,31814582,3670026,-0.59376204,-0.19201498,-9.598354,36.069767,0,0,0,0,5
31817378,31817075,3670026,-0.6019023,-0.23127988,-9.610326,36.084454,0,0,0,0,5
31821084,31820804,3670026,-0.63829416,-0.20398599,-9.640492,36.035496,0,0,0,0,5
31824818,31824537,3670026,-0.63063276,-0.24708162,-9.70753,36.045288,0,0,0,0,5
31828556,31828273,3670026,-0.6315904,-0.27389666,-9.705615,36.04039,0,0,0,0,5
31831036,31830759,3670026,-0.64978635,-0.25091234,-9.731472,36.01591,0,0,0,0,5
31834772,31834491,3670026,-0.6651092,-0.2753332,-9.759245,36.02081,0,0,0,0,5
31838507,31838226,3670026,-0.6698976,-0.28682536,-9.737219,36.0306,0,0,0,0,5
31842234,31841958,3670026,-0.74124485,-0.3193865,-9.765949,36.059975,0,0,0,0,5
31847215,31846937,3670026,-0.7158663,-0.386903,-9.742007,36.074665,0,0,0,0,5
31849712,31849424,3670026,-0.71634513,-0.33423057,-9.73243,36.04039,0,0,0,0,5
31852187,31851913,3670026,-0.716824,-0.38355112,-9.730036,36.01591,0,0,0,0,5
31857179,31856899,3670026,-0.7493851,-0.33566707,-9.735782,36.050182,0,0,0,0,5
31859672,31859380,3670026,-0.7469909,-0.35194767,-9.746796,36.0306,0,0,0,0,5
31863396,31863115,3670026,-0.75752544,-0.33518824,-9.76164,36.02081,0,0,0,0,5
31867116,31866846,3670026,-0.7824251,-0.34380737,-9.768343,36.035496,0,0,0,0,5
31869621,31869335,3670026,-0.76279265,-0.35098997,-9.78606,36.04039,0,0,0,0,5
31873352,31873070,3670026,-0.7867347,-0.36822823,-9.764033,36.069767,0,0,0,0,5
31877082,31876802,3670026,-0.8169016,-0.34141317,-9.759724,36.050182,0,0,0,0,5
31880823,31880535,3670026,-0.83222455,-0.39264908,-9.711361,36.025703,0,0,0,0,5
31884551,31884274,3670026,-0.8169016,-0.39983168,-9.704179,36.08935,0,0,0,0,5
31887054,31886776,3670026,-0.833661,-0.39839518,-9.781751,36.0306,0,0,0,0,5
31890799,31890521,3670026,-0.80205756,-0.40222588,-9.751104,36.05508,0,0,0,0,5
31894553,31894271,3670026,-0.8073248,-0.38594532,-9.71184,36.025703,0,0,0,0,5
31898303,31898025,3670026,-0.79104424,-0.35290533,-9.730993,36.074665,0,0,0,0,5
31900803,31900529,3670026,-0.75991964,-0.3428497,-9.751104,36.02081,0,0,0,0,5
31904556,31904277,3670026,-0.73406225,-0.3275268,-9.794201,36.11873,0,0,0,0,5
31908306,31908028,3670026,-0.79343843,-0.33087867,-9.796116,36.059975,0,0,0,0,5
31912043,31911775,3670026,-0.7345411,-0.35194767,-9.787018,36.064873,0,0,0,0,5
31917071,31916794,3670026,-0.75082165,-0.29592332,-9.834423,36.05508,0,0,0,0,5
31919569,31919287,3670026,-0.7867347,-0.30885202,-9.853098,36.0306,0,0,0,0,5
31922055,31921783,3670026,-0.74363905,-0.29927522,-9.844957,36.050182,0,0,0,0,5
31925615,31925337,3670026,-0.71155673,-0.31651348,-9.828198,36.00612,0,0,0,0,5
31929355,31929067,3670026,-0.71873933,-0.35577837,-9.8483095,36.059975,0,0,0,0,5
31933081,31932801,3670026,-0.71490866,-0.38163576,-9.866506,36.0306,0,0,0,0,5
31936814,31936534,3670026,-0.728795,-0.39791632,-9.818622,36.069767,0,0,0,0,5
31939309,31939022,3670026,-0.758962,-0.3892972,-9.796595,36.059975,0,0,0,0,5
31943044,31942761,3670026,-0.6904878,-0.43766007,-9.787018,36.064873,0,0,0,0,5
31946764,31946488,3670026,-0.7096414,-0.4381389,-9.756851,36.001225,0,0,0,0,5
31950509,31950225,3670026,-0.740766,-0.42760444,-9.763076,36.064873,0,0,0,0,5
31954241,31953956,3670026,-0.6890513,-0.4180276,-9.769779,36.025703,0,0,0,0,5
31957963,31957688,3670026,-0.70341647,-0.3773262,-9.737698,36.05508,0,0,0,0,5
31961703,31961420,3670026,-0.69000894,-0.41467574,-9.759245,36.025703,0,0,0,0,5
31964209,31963911,3670026,-0.6847417,-0.41036618,-9.783666,36.064873,0,0,0,0,5
31967932,31967649,3670026,-0.7120356,-0.3691859,-9.757809,36.050182,0,0,0,0,5
31971665,31971378,3670026,-0.6526594,-0.3145981,-9.694123,36.001225,0,0,0,0,5
31975391,31975109,3670026,-0.6210559,-0.29831752,-9.750147,36.10404,0,0,0,0,5
31977875,31977599,3670026,-0.61674637,-0.3145981,-9.795637,36.059975,0,0,0,0,5
31981609,31981332,3670026,-0.61483103,-0.32273838,-9.884702,36.050182,0,0,0,0,5
31985347,31985065,3670026,-0.62249243,-0.30597898,-9.858365,36.025703,0,0,0,0,5
31989087,31988799,3670026,-0.60812724,-0.2384625,-9.865068,36.11383,0,0,0,0,5
31992809,31992533,3670026,-0.60238117,-0.23415293,-9.957964,36.011017,0,0,0,0,5
31995297,31995020,3670026,-0.6196194,-0.25617957,-9.964667,36.084454,0,0,0,0,5
31999037,31998754,3670026,-0.64739215,-0.27102363,-10.029311,36.07956,0,0,0,0,5
32002779,32002489,3670026,-0.6076484,-0.26862943,-10.037452,36.045288,0,0,0,0,5
32006504,32006219,3670026,-0.6517017,-0.2231396,-10.047507,36.0306,0,0,0,0,5
32011479,32011199,3670026,-0.64499795,-0.25426424,-10.119812,36.07956,0,0,0,0,5
32013972,32013689,3670026,-0.6488287,-0.21547815,-10.143275,36.108936,0,0,0,0,5
32016462,32016175,3670026,-0.6038177,-0.22361845,-10.194032,36.08935,0,0,0,0,5
32021445,32021155,3670026,-0.6090849,-0.24708162,-10.221326,35.991432,0,0,0,0,5
32023939,32023650,3670026,-0.5851429,-0.27150247,-10.245747,36.025703,0,0,0,0,5
32027654,32027375,3670026,-0.58705825,-0.22601265,-10.235212,36.064873,0,0,0,0,5
32031389,32031109,3670026,-0.5645528,-0.19967642,-10.282139,36.059975,0,0,0,0,5
32033891,32033600,3670026,-0.5928044,-0.22936453,-10.253887,36.074665,0,0,0,0,5
32037602,32037330,3670026,-0.58179104,-0.24229321,-10.221326,36.01591,0,0,0,0,5
32041335,32041063,3670026,-0.5707777,-0.24851814,-10.210313,36.069767,0,0,0,0,5
32045071,32044797,3670026,-0.5482722,-0.26144683,-10.199779,36.04039,0,0,0,0,5
32048818,32048534,3670026,-0.5434838,-0.27389666,-10.148064,36.025703,0,0,0,0,5
32051301,32051019,3670026,-0.53486466,-0.2336741,-10.140402,36.074665,0,0,0,0,5
