Time (ms),humidity (%),temperature (C*)
31285,59.00,21.30,
31369,59.00,21.30,
31452,60.00,21.20,
31535,60.00,21.20,
31618,60.00,21.20,
31700,60.00,21.20,
31783,60.00,21.20,
31867,60.00,21.20,
31950,60.00,21.20,
32033,60.00,21.20,
32116,60.00,21.20,
32200,60.00,21.20,
32283,60.00,21.20,
32366,60.00,21.20,
32449,60.00,21.20,
32537,60.00,21.20,
32616,60.00,21.20,
32699,60.00,21.20,
32782,60.00,21.20,
32866,60.00,21.20,
32949,60.00,21.20,
33032,60.00,21.20,
33115,60.00,21.20,
33199,60.00,21.20,
33282,60.00,21.20,
33364,60.00,21.20,
33447,60.00,21.20,
33531,62.00,21.20,
33614,62.00,21.20,
33697,62.00,21.20,
33780,62.00,21.20,
33863,62.00,21.20,
33947,62.00,21.20,
34030,62.00,21.20,
34113,62.00,21.20,
34196,62.00,21.20,
34280,62.00,21.20,
34363,62.00,21.20,
34446,62.00,21.20,
34529,62.00,21.20,
34613,62.00,21.20,
34696,62.00,21.20,
34779,62.00,21.20,
34862,62.00,21.20,
34946,62.00,21.20,
35028,62.00,21.20,
35111,62.00,21.20,
35194,62.00,21.20,
35278,62.00,21.20,
35361,62.00,21.20,
35444,62.00,21.20,
35527,62.00,21.20,
35611,64.00,21.20,
35694,64.00,21.20,
35777,64.00,21.20,
35860,64.00,21.20,
35943,64.00,21.20,
36027,64.00,21.20,
36110,64.00,21.20,
36193,64.00,21.20,
36276,64.00,21.20,
36360,64.00,21.20,
36443,64.00,21.20,
36526,64.00,21.20,
36609,64.00,21.20,
36692,64.00,21.20,
36775,64.00,21.20,
36858,64.00,21.20,
36941,64.00,21.20,
37025,64.00,21.20,
37108,64.00,21.20,
37191,64.00,21.20,
37274,64.00,21.20,
37358,64.00,21.20,
37441,64.00,21.20,
37524,64.00,21.20,
37607,64.00,21.20,
37691,64.00,21.30,
37773,64.00,21.30,
37857,64.00,21.30,
37940,64.00,21.30,
38023,64.00,21.30,
38106,64.00,21.30,
38190,64.00,21.30,
38273,64.00,21.30,
38355,64.00,21.30,
38438,64.00,21.30,
38522,64.00,21.30,
38605,64.00,21.30,
38688,64.00,21.30,
38771,64.00,21.30,
38855,64.00,21.30,
38938,64.00,21.30,
39021,64.00,21.30,
39104,64.00,21.30,
39188,64.00,21.30,
39271,64.00,21.30,
39354,64.00,21.30,
39437,64.00,21.30,
39521,64.00,21.30,
39604,64.00,21.30,
39687,64.00,21.30,
39770,65.00,21.30,
39853,65.00,21.30,
39936,65.00,21.30,
40019,65.00,21.30,
40102,65.00,21.30,
40185,65.00,21.30,
40268,65.00,21.30,
40352,65.00,21.30,
40435,65.00,21.30,
40518,65.00,21.30,
40601,65.00,21.30,
40685,65.00,21.30,
40768,65.00,21.30,
40851,65.00,21.30,
40934,65.00,21.30,
41018,65.00,21.30,
41101,65.00,21.30,
41184,65.00,21.30,
41267,65.00,21.30,
41351,65.00,21.30,
41434,65.00,21.30,
41517,65.00,21.30,
41600,65.00,21.30,
41683,65.00,21.30,
41766,65.00,21.30,
41849,66.00,21.40,
41932,66.00,21.40,
42015,66.00,21.40,
42099,66.00,21.40,
42182,66.00,21.40,
42265,66.00,21.40,
42348,66.00,21.40,
42432,66.00,21.40,
42515,66.00,21.40,
42602,66.00,21.40,
42681,66.00,21.40,
42765,66.00,21.40,
42848,66.00,21.40,
42931,66.00,21.40,
43014,66.00,21.40,
43098,66.00,21.40,
43181,66.00,21.40,
43264,66.00,21.40,
43350,66.00,21.40,
43430,66.00,21.40,
43513,66.00,21.40,
43596,66.00,21.40,
43679,66.00,21.40,
43763,66.00,21.40,
43846,66.00,21.40,
43929,66.00,21.30,
44013,66.00,21.30,
44096,66.00,21.30,
44180,66.00,21.30,
44263,66.00,21.30,
44346,66.00,21.30,
44429,66.00,21.30,
44513,66.00,21.30,
44596,66.00,21.30,
44679,66.00,21.30,
44762,66.00,21.30,
44846,66.00,21.30,
44929,66.00,21.30,
45011,66.00,21.30,
45094,66.00,21.30,
45178,66.00,21.30,
45261,66.00,21.30,
45344,66.00,21.30,
45427,66.00,21.30,
45511,66.00,21.30,
45594,66.00,21.30,
45677,66.00,21.30,
45760,66.00,21.30,
45844,66.00,21.30,
45927,66.00,21.30,
46010,65.00,21.40,
46094,65.00,21.40,
46177,65.00,21.40,
46260,65.00,21.40,
46344,65.00,21.40,
