timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
5215379,5214453,396809,-0.15151514,-0.12499999,0.4439394,nan,0,1
5236621,5235694,396809,-0.15075757,-0.12196969,0.4439394,nan,0,1
5257933,5257007,396809,-0.14999999,-0.12424242,0.4409091,nan,0,1
5279622,5278695,396809,-0.15075757,-0.12272727,0.4492424,nan,0,1
5300858,5299933,396809,-0.15151514,-0.12348484,0.4439394,nan,0,1
5322106,5321173,396809,-0.15075757,-0.12348484,0.44772726,nan,0,1
5343347,5342421,396809,-0.14848484,-0.12424242,0.44772726,nan,0,1
5364620,5363695,396809,-0.14924242,-0.12651515,0.44242424,nan,0,1
5386389,5385375,396809,-0.14772727,-0.12575758,0.4462121,nan,0,1
5407630,5406702,396809,-0.14999999,-0.12348484,0.44772726,nan,0,1
5428870,5427945,396809,-0.14999999,-0.12424242,0.4439394,nan,0,1
5450100,5449175,396809,-0.15075757,-0.12272727,0.4492424,nan,0,1
5471334,5470408,396809,-0.14924242,-0.12348484,0.44242424,nan,0,1
5493034,5492106,396809,-0.14999999,-0.12348484,0.44469696,nan,0,1
5514289,5513364,396809,-0.14999999,-0.12348484,0.4439394,nan,0,1
5535627,5534596,396809,-0.14772727,-0.12348484,0.4462121,nan,0,1
5556874,5555947,396809,-0.14696969,-0.12424242,0.4462121,nan,0,1
5578106,5577181,396809,-0.14621212,-0.12272727,0.45151514,nan,0,1
5599756,5598831,396809,-0.14848484,-0.12121212,0.4492424,nan,0,1
5621005,5620080,396809,-0.14545454,-0.12121212,0.4492424,nan,0,1
5642341,5641386,396809,-0.14621212,-0.12045454,0.4462121,nan,0,1
5663775,5662718,396809,-0.14772727,-0.12196969,0.4492424,nan,0,1
5685036,5684080,396809,-0.14772727,-0.12121212,0.44469696,nan,0,1
5706663,5705736,396809,-0.14848484,-0.12045454,0.44469696,nan,0,1
5727904,5726971,396809,-0.15151514,-0.12272727,0.4439394,nan,0,1
5749147,5748211,396809,-0.14772727,-0.12196969,0.44772726,nan,0,1
5770431,5769504,396809,-0.14924242,-0.12272727,0.4492424,nan,0,1
5791691,5790764,396809,-0.14772727,-0.12121212,0.44242424,nan,0,1
5813620,5812672,396809,-0.15075757,-0.12272727,0.4439394,nan,0,1
5834871,5833932,396809,-0.14848484,-0.12121212,0.44772726,nan,0,1
5856124,5855192,396809,-0.15151514,-0.12272727,0.44242424,nan,0,1
5877367,5876432,396809,-0.15378788,-0.12348484,0.44242424,nan,0,1
