timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
123034511,123034197,0.69192195,-0.328427,-9.770826
123039535,123039198,0.69432354,-0.32759094,-9.771155
123044515,123044197,0.6868571,-0.32581288,-9.77575
123049517,123049196,0.6852125,-0.31195024,-9.775301
123054516,123054200,0.69152933,-0.31258082,-9.779269
123059509,123059199,0.69969016,-0.32208067,-9.783102
123064518,123064200,0.7010135,-0.32326087,-9.778952
123069521,123069200,0.69998944,-0.32977483,-9.777775
123074513,123074204,0.7039754,-0.32770506,-9.784651
123079518,123079204,0.69614303,-0.3261285,-9.785274
123084540,123084202,0.69257045,-0.32514668,-9.783596
123089742,123089428,0.69734555,-0.32236847,-9.783322
123094694,123094392,0.6980977,-0.32727244,-9.785229
123099669,123099372,0.69495165,-0.33228266,-9.784361
123104642,123104348,0.6960756,-0.32724175,-9.776035
123109634,123109328,0.70349836,-0.318871,-9.773754
123114588,123114297,0.7000736,-0.31344572,-9.767011
123119587,123119280,0.7007878,-0.30793688,-9.753592
123124548,123124253,0.691123,-0.31151503,-9.745101
123129537,123129247,0.6963259,-0.3120093,-9.75285
123134517,123134209,0.69885397,-0.31420293,-9.77231
123139518,123139210,0.6976605,-0.314246,-9.784334
123144511,123144220,0.69752306,-0.31958994,-9.779858
123149507,123149212,0.6981967,-0.31675822,-9.780906
123154524,123154218,0.69171625,-0.32071584,-9.779783
123159527,123159221,0.6907855,-0.32412207,-9.775463
123164512,123164217,0.69869316,-0.31867474,-9.784281
123169524,123169216,0.69556326,-0.31783706,-9.778243
123174528,123174227,0.6939148,-0.32702237,-9.775576
123179520,123179219,0.7001022,-0.33188537,-9.782988
123184524,123184222,0.7058699,-0.33167788,-9.7880125
123189516,123189228,0.71226543,-0.32318717,-9.786901
123194530,123194221,0.71390367,-0.32199147,-9.7846365
123199534,123199226,0.71059877,-0.32160342,-9.774129
123204534,123204231,0.7032758,-0.32039398,-9.772247
123209546,123209227,0.699706,-0.32293427,-9.775221
123214531,123214225,0.6998925,-0.32557115,-9.775382
123219530,123219226,0.6991789,-0.33612967,-9.770851
123224528,123224229,0.70320284,-0.33742434,-9.772353
123229530,123229226,0.70813113,-0.32907706,-9.775784
123234532,123234229,0.7056963,-0.32441655,-9.776432
123239543,123239228,0.6993724,-0.31843638,-9.773328
123244528,123244232,0.69180584,-0.31959024,-9.779789
123249544,123249232,0.69823617,-0.32293242,-9.775922
123254529,123254234,0.69622856,-0.32750988,-9.772434
123259524,123259232,0.6932218,-0.32707992,-9.768617
123264527,123264232,0.6885289,-0.32207736,-9.771743
123269543,123269234,0.6939188,-0.3243481,-9.77652
123274535,123274237,0.6948376,-0.3235035,-9.785024
123279542,123279234,0.69421697,-0.32264304,-9.785342
123284597,123284239,0.70204055,-0.32351062,-9.777643
123289548,123289238,0.69576234,-0.3240402,-9.769714
123294552,123294239,0.69112617,-0.32367104,-9.76759
123299573,123299245,0.689366,-0.31886467,-9.769917
123304553,123304242,0.6879368,-0.30700928,-9.778537
123309561,123309240,0.6919697,-0.31179255,-9.782051
123314553,123314244,0.70458406,-0.31956553,-9.778364
123319564,123319242,0.7043337,-0.321452,-9.7683935
123324547,123324243,0.6996078,-0.31583598,-9.764039
123329551,123329244,0.69506234,-0.3091105,-9.763505
123334559,123334247,0.6974928,-0.3031563,-9.763452
123339566,123339250,0.70321727,-0.30424753,-9.759581
123344558,123344249,0.6970497,-0.3036659,-9.7712755
123349749,123349474,0.68394816,-0.30318734,-9.778295
123354757,123354447,0.68412113,-0.30381513,-9.778071
123359714,123359415,0.68349814,-0.31096908,-9.775755
123364693,123364394,0.6896277,-0.31433952,-9.776388
123369681,123369380,0.6917118,-0.3217252,-9.777738
123374648,123374348,0.6906843,-0.3258596,-9.781906
123379606,123379321,0.6951656,-0.3208727,-9.785011
123384594,123384300,0.6909694,-0.3188481,-9.786587
123389592,123389296,0.69012016,-0.3149323,-9.789378
123394558,123394262,0.68579406,-0.3167341,-9.786005
123399553,123399255,0.692341,-0.31579477,-9.785589
123404553,123404256,0.69737095,-0.31558272,-9.7817135
123409548,123409257,0.7011431,-0.32055166,-9.77835
123414558,123414258,0.7004063,-0.3235438,-9.770362
123419562,123419264,0.69865733,-0.32190806,-9.7712555
123424558,123424262,0.69887525,-0.3213575,-9.76933
123429559,123429261,0.7046433,-0.32037792,-9.774029
123434587,123434265,0.7058896,-0.31910905,-9.767981
123439563,123439265,0.7023681,-0.3243267,-9.768025
123444554,123444264,0.6927033,-0.3232514,-9.774477
123449558,123449267,0.6968757,-0.3161723,-9.770919
123454558,123454265,0.703325,-0.31757474,-9.765415
123459564,123459266,0.7006884,-0.32567245,-9.766564
123464562,123464269,0.69744337,-0.3312776,-9.773786
123469568,123469276,0.69955,-0.3255017,-9.779939
123474561,123474268,0.70303774,-0.3128184,-9.785626
123479564,123479271,0.7002523,-0.3093845,-9.774424
123484567,123484273,0.6926988,-0.3141214,-9.770722
123489575,123489271,0.6931981,-0.3266993,-9.780463
123494565,123494274,0.69200504,-0.32705888,-9.783011
123499572,123499273,0.69444144,-0.32592064,-9.784029
123504572,123504273,0.6985895,-0.32813194,-9.784994
123509570,123509274,0.69901425,-0.32181126,-9.780398
123514570,123514277,0.69640064,-0.3158947,-9.772148
123519608,123519276,0.6950106,-0.31327078,-9.768459
123524572,123524278,0.6955772,-0.31641895,-9.768431
123529573,123529279,0.69444627,-0.32004157,-9.773363
123534578,123534280,0.6910642,-0.30770627,-9.779958
123539583,123539280,0.69621146,-0.30691147,-9.782886
123544596,123544281,0.7034296,-0.31088057,-9.783887
123549607,123549282,0.6988225,-0.30613497,-9.782029
123554632,123554286,0.70562494,-0.31110507,-9.776649
123559617,123559284,0.7090844,-0.3195573,-9.782707
123564600,123564290,0.7075901,-0.32783586,-9.783841
123569593,123569284,0.6992693,-0.33065158,-9.76933
123574596,123574289,0.69535005,-0.33159232,-9.761483
123579592,123579285,0.6897051,-0.32434207,-9.77069
123584601,123584290,0.6880623,-0.31759417,-9.777988
123589598,123589288,0.6921909,-0.31546214,-9.7810755
123594608,123594289,0.70118034,-0.316068,-9.786727
123599601,123599292,0.7047385,-0.3127169,-9.776287
123604602,123604290,0.70543057,-0.31036732,-9.765636
123609801,123609506,0.70584136,-0.31614375,-9.772222
123614774,123614475,0.7018917,-0.3141792,-9.784731
123619753,123619456,0.69591093,-0.3160168,-9.792567
123624758,123624443,0.6933333,-0.31884477,-9.797955
123629706,123629407,0.6952413,-0.3190767,-9.799914
123634700,123634386,0.69678396,-0.31995878,-9.800885
123639652,123639360,0.6934283,-0.3218515,-9.787889
123644718,123644341,0.6896135,-0.31043094,-9.784002
123649628,123649317,0.6925486,-0.30098453,-9.7806425
123654591,123654297,0.6898901,-0.29825273,-9.777237
123659591,123659300,0.69607794,-0.2997101,-9.776865
123664646,123664301,0.71185523,-0.30220628,-9.780311
123669597,123669303,0.7207738,-0.30964231,-9.777852
123674600,123674304,0.7045296,-0.3216775,-9.782087
123679602,123679304,0.7024706,-0.32154655,-9.78146
123684695,123684304,0.7024142,-0.3253992,-9.770976
123689597,123689305,0.69707257,-0.32713702,-9.76627
123694603,123694308,0.6998486,-0.32745507,-9.769447
123699603,123699306,0.6990097,-0.32569405,-9.777533
123704600,123704306,0.6952506,-0.3187391,-9.776437
123709621,123709324,0.70080054,-0.31507355,-9.771395
123714607,123714311,0.7035329,-0.31228918,-9.767106
123719610,123719312,0.7039009,-0.30789298,-9.766363
123724606,123724311,0.69610006,-0.3097593,-9.766989
123734611,123734315,0.6924384,-0.3093114,-9.762466
123739623,123739317,0.6964525,-0.3060659,-9.766496
123744611,123744315,0.69650793,-0.30535927,-9.763302
123749611,123749316,0.6934837,-0.3135078,-9.768658
123754615,123754318,0.700382,-0.31398442,-9.77509
123759630,123759320,0.6952888,-0.3137791,-9.77528
123764617,123764321,0.6963404,-0.3168373,-9.774278
