Time (ms),humidity (%),temperature (C*)
379874,53.00,20.70,
379958,53.00,20.70,
380042,53.00,20.70,
380127,53.00,20.70,
380211,53.00,20.70,
380295,53.00,20.70,
380380,53.00,20.70,
380464,53.00,20.70,
380548,53.00,20.70,
380632,53.00,20.70,
380717,53.00,20.70,
380801,53.00,20.70,
380884,53.00,20.70,
380968,53.00,20.70,
381053,53.00,20.70,
381137,53.00,20.70,
381221,53.00,20.70,
381305,53.00,20.70,
381390,53.00,20.70,
381474,53.00,20.70,
381558,52.00,20.80,
381643,52.00,20.80,
381727,52.00,20.80,
381812,52.00,20.80,
381896,52.00,20.80,
381980,52.00,20.80,
382064,52.00,20.80,
382149,52.00,20.80,
382233,52.00,20.80,
382317,52.00,20.80,
382401,52.00,20.80,
382486,52.00,20.80,
382570,52.00,20.80,
382654,52.00,20.80,
382738,52.00,20.80,
382823,52.00,20.80,
382907,52.00,20.80,
382991,52.00,20.80,
383076,52.00,20.80,
383160,52.00,20.80,
383244,52.00,20.80,
383328,52.00,20.80,
383413,52.00,20.80,
383497,52.00,20.80,
383581,53.00,21.00,
383666,53.00,21.00,
383750,53.00,21.00,
383835,53.00,21.00,
383919,53.00,21.00,
384003,53.00,21.00,
384087,53.00,21.00,
384172,53.00,21.00,
384256,53.00,21.00,
384339,53.00,21.00,
384423,53.00,21.00,
384508,53.00,21.00,
384592,53.00,21.00,
384676,53.00,21.00,
384760,53.00,21.00,
384845,53.00,21.00,
384929,53.00,21.00,
385013,53.00,21.00,
385098,53.00,21.00,
385182,53.00,21.00,
385266,53.00,21.00,
385350,53.00,21.00,
385444,53.00,21.00,
385519,53.00,21.00,
385603,52.00,20.90,
385688,52.00,20.90,
385772,52.00,20.90,
385857,52.00,20.90,
385941,52.00,20.90,
386025,52.00,20.90,
386109,52.00,20.90,
386194,52.00,20.90,
386278,52.00,20.90,
386362,52.00,20.90,
386446,52.00,20.90,
386531,52.00,20.90,
386615,52.00,20.90,
386699,52.00,20.90,
386783,52.00,20.90,
386868,52.00,20.90,
386952,52.00,20.90,
387036,52.00,20.90,
387120,52.00,20.90,
387205,52.00,20.90,
387289,52.00,20.90,
387373,52.00,20.90,
387458,52.00,20.90,
387542,52.00,20.90,
387625,53.00,21.00,
387710,53.00,21.00,
387794,53.00,21.00,
387878,53.00,21.00,
387965,53.00,21.00,
388047,53.00,21.00,
388131,53.00,21.00,
388216,53.00,21.00,
388300,53.00,21.00,
388384,53.00,21.00,
388468,53.00,21.00,
388553,53.00,21.00,
388637,53.00,21.00,
388721,53.00,21.00,
388805,53.00,21.00,
388890,53.00,21.00,
388974,53.00,21.00,
389058,53.00,21.00,
389142,53.00,21.00,
389227,53.00,21.00,
389311,53.00,21.00,
389395,53.00,21.00,
389480,53.00,21.00,
389564,53.00,21.00,
389648,53.00,21.00,
389733,53.00,21.00,
389817,53.00,21.00,
389901,53.00,21.00,
389986,53.00,21.00,
390070,53.00,21.00,
390154,53.00,21.00,
390239,53.00,21.00,
390323,53.00,21.00,
390407,53.00,21.00,
390491,53.00,21.00,
390576,53.00,21.00,
390660,53.00,21.00,
390744,53.00,21.00,
390828,53.00,21.00,
390913,53.00,21.00,
390996,53.00,21.00,
391080,53.00,21.00,
391164,53.00,21.00,
391249,53.00,21.00,
391333,53.00,21.00,
391417,53.00,21.00,
391502,53.00,21.00,
391586,53.00,21.00,
391670,53.00,21.00,
391755,53.00,21.00,
391839,53.00,21.00,
391923,53.00,21.00,
392008,53.00,21.00,
392092,53.00,21.00,
392176,53.00,21.00,
392261,53.00,21.00,
392345,53.00,21.00,
392429,53.00,21.00,
392513,53.00,21.00,
392598,53.00,21.00,
392682,53.00,21.00,
392766,53.00,21.00,
392850,53.00,21.00,
392935,53.00,21.00,
393019,53.00,21.00,
393103,53.00,21.00,
393187,53.00,21.00,
393272,53.00,21.00,
393356,53.00,21.00,
393440,53.00,21.00,
393524,53.00,21.00,
393609,53.00,21.00,
393693,53.00,21.10,
393778,53.00,21.10,
393862,53.00,21.10,
393947,53.00,21.10,
394031,53.00,21.10,
394115,53.00,21.10,
394199,53.00,21.10,
394284,53.00,21.10,
394368,53.00,21.10,
394451,53.00,21.10,
394535,53.00,21.10,
394620,53.00,21.10,
394704,53.00,21.10,
394788,53.00,21.10,
394872,53.00,21.10,
394967,53.00,21.10,
395041,53.00,21.10,
395125,53.00,21.10,
395209,53.00,21.10,
395294,53.00,21.10,
395378,53.00,21.10,
395462,53.00,21.10,
395547,53.00,21.10,
395631,53.00,21.10,
395715,53.00,21.30,
395800,53.00,21.30,
395884,53.00,21.30,
395969,53.00,21.30,
396053,53.00,21.30,
396137,53.00,21.30,
396221,53.00,21.30,
396306,53.00,21.30,
396390,53.00,21.30,
396474,53.00,21.30,
396558,53.00,21.30,
396643,53.00,21.30,
396727,53.00,21.30,
396811,53.00,21.30,
396896,53.00,21.30,
396980,53.00,21.30,
397064,53.00,21.30,
397148,53.00,21.30,
397233,53.00,21.30,
397317,53.00,21.30,
397401,53.00,21.30,
397485,53.00,21.30,
397570,53.00,21.30,
397654,53.00,21.30,
397737,53.00,21.10,
397821,53.00,21.10,
397905,53.00,21.10,
397990,53.00,21.10,
398074,53.00,21.10,
398158,53.00,21.10,
398242,53.00,21.10,
398327,53.00,21.10,
398411,53.00,21.10,
398495,53.00,21.10,
398580,53.00,21.10,
398664,53.00,21.10,
398748,53.00,21.10,
398832,53.00,21.10,
398917,53.00,21.10,
399001,53.00,21.10,
399085,53.00,21.10,
399169,53.00,21.10,
399254,53.00,21.10,
399338,53.00,21.10,
399422,53.00,21.10,
399506,53.00,21.10,
399591,53.00,21.10,
399675,53.00,21.10,
399759,53.00,21.40,
399843,53.00,21.40,
399927,53.00,21.40,
400012,53.00,21.40,
400096,53.00,21.40,
400180,53.00,21.40,
400265,53.00,21.40,
400349,53.00,21.40,
400433,53.00,21.40,
400517,53.00,21.40,
400602,53.00,21.40,
400686,53.00,21.40,
400770,53.00,21.40,
400854,53.00,21.40,
400939,53.00,21.40,
401022,53.00,21.40,
401106,53.00,21.40,
401190,53.00,21.40,
401275,53.00,21.40,
401359,53.00,21.40,
401443,53.00,21.40,
401528,53.00,21.40,
401612,53.00,21.40,
401696,53.00,21.40,
401780,53.00,21.20,
401864,53.00,21.20,
401949,53.00,21.20,
402033,53.00,21.20,
402117,53.00,21.20,
402201,53.00,21.20,
402286,53.00,21.20,
402370,53.00,21.20,
402454,53.00,21.20,
402538,53.00,21.20,
402623,53.00,21.20,
402707,53.00,21.20,
402791,53.00,21.20,
402875,53.00,21.20,
402960,53.00,21.20,
403044,53.00,21.20,
403128,53.00,21.20,
403212,53.00,21.20,
403297,53.00,21.20,
403381,53.00,21.20,
403465,53.00,21.20,
403550,53.00,21.20,
403634,53.00,21.20,
403718,53.00,21.20,
403802,53.00,21.10,
403886,53.00,21.10,
403971,53.00,21.10,
404055,53.00,21.10,
404139,53.00,21.10,
404222,53.00,21.10,
404307,53.00,21.10,
404391,53.00,21.10,
404475,53.00,21.10,
404570,53.00,21.10,
404644,53.00,21.10,
404728,53.00,21.10,
404812,53.00,21.10,
404897,53.00,21.10,
404981,53.00,21.10,
405065,53.00,21.10,
405149,53.00,21.10,
405234,53.00,21.10,
405318,53.00,21.10,
405402,53.00,21.10,
405486,53.00,21.10,
405571,53.00,21.10,
405655,53.00,21.10,
405739,53.00,21.10,
405823,53.00,21.30,
405907,53.00,21.30,
405992,53.00,21.30,
406076,53.00,21.30,
406160,53.00,21.30,
406244,53.00,21.30,
406329,53.00,21.30,
406413,53.00,21.30,
406497,53.00,21.30,
406582,53.00,21.30,
406666,53.00,21.30,
406750,53.00,21.30,
406834,53.00,21.30,
406919,53.00,21.30,
407003,53.00,21.30,
407087,53.00,21.30,
407171,53.00,21.30,
407256,53.00,21.30,
407340,53.00,21.30,
407424,53.00,21.30,
407507,53.00,21.30,
407592,53.00,21.30,
407676,53.00,21.30,
407760,53.00,21.30,
407845,52.00,21.50,
