timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
463326427,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04544207,0.0015441636,5.176977e-06,0.30506974,0.323474,-9.7517805,-0.128858,0.19057615,-0.37188336,35.62426,35.62426
463426445,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.043076154,0.0014196064,4.4768913e-06,0.5446229,0.4370938,-9.535497,-0.10781935,0.17779268,-0.28295946,35.62426,35.62426
463526546,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.041685265,0.0012965609,3.799698e-06,0.3574605,0.5199534,-9.683094,0.054279946,-0.026180834,-0.19985493,35.62426,35.62426
463630219,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04286411,0.0013156934,3.4395432e-06,0.4253195,0.20948248,-9.441587,0.0794493,-0.25618607,-0.1547786,35.62426,35.62426
463730272,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04499318,0.0013781707,3.1434643e-06,0.077438116,0.3592921,-9.972654,0.0003309641,-0.23801401,-0.14412762,35.62426,35.62426
463834068,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04498187,0.001377219,2.8465029e-06,0.36240932,0.655227,-9.909829,-0.10482859,-0.25800145,-0.117692,35.62426,35.62426
463939038,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.048279572,0.0014082509,2.6675382e-06,0.096682765,0.45934895,-10.128888,0.041245997,-0.282504,-0.070563205,35.62426,35.62426
464039084,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.051227797,0.0015188936,2.348654e-06,0.18582223,0.21130915,-10.289016,-0.025365211,0.02879413,0.00941094,35.62426,35.62426
464142832,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04771486,0.001413565,2.0432647e-06,-0.081788905,0.55870944,-10.44626,-0.027631592,0.03994011,0.105579086,35.76816,35.76816
464242884,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04647657,0.0013718742,1.919296e-06,-0.023819348,0.2139723,-10.353046,0.09929735,0.079182476,0.19448066,35.820072,35.820072
464345008,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04716318,0.0013445228,1.9530435e-06,0.16246685,0.5530735,-9.852545,-0.051240325,0.3224081,0.24508113,35.820072,35.820072
464446783,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.046693653,0.0014537186,2.2645845e-06,0.017613258,0.4527241,-9.982733,-0.119862676,0.13274804,0.30357304,35.820072,35.820072
464550475,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.044879805,0.0013856794,2.1685844e-06,0.04577419,0.6632089,-10.087492,0.068457834,-0.08474396,0.30356297,35.820072,35.820072
464655468,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.048902575,0.0015033528,2.4370333e-06,0.027874887,0.3012375,-10.116637,0.2048719,-0.09516397,0.3046768,35.820072,35.820072
464755497,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04753023,0.0014907558,2.376979e-06,-0.16013725,0.39988807,-9.849396,0.111179024,-0.0467744,0.27444276,35.820072,35.820072
464859354,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.047275227,0.0015127851,2.3177122e-06,-0.2973521,0.32596037,-9.554448,0.01938123,-0.032838,0.25245404,35.820072,35.820072
464964282,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.048011743,0.0015073529,2.174419e-06,-0.007603979,0.32299152,-9.291175,0.03896013,0.10368477,0.19946232,35.820072,35.820072
465064308,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.048140787,0.0015186853,2.0981395e-06,-0.2587589,0.42522007,-9.784863,-0.018159363,0.21400034,0.14534937,35.820072,35.820072
465170626,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04687593,0.0014653389,1.907969e-06,-0.23621254,0.20806538,-10.098613,0.18589,0.1143551,0.16305037,35.53326,35.53326
465271885,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.045247145,0.0014627144,1.871794e-06,-0.05436258,0.86303234,-9.883258,0.19732204,0.030970195,0.22969396,35.526344,35.526344
465372018,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.044201892,0.0014263523,1.837209e-06,-0.11173343,0.5276328,-9.864965,-0.14339648,-0.1654868,0.22659573,35.526344,35.526344
465479159,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.043533668,0.0014479093,1.8748782e-06,-0.009753619,0.4841939,-9.418054,-0.02224951,-0.101661146,0.23973943,35.52635,35.52635
465580681,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.044168215,0.001410945,1.9616757e-06,-0.382957,0.49307382,-9.926499,0.19697228,0.06297904,0.34351522,35.52635,35.52635
465680701,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.043774728,0.0014109389,2.1137225e-06,-0.20901379,0.90785843,-9.872245,0.08423052,0.11321302,0.39500672,35.526344,35.526344
465784468,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04559811,0.001433073,2.5073457e-06,-0.34377846,0.26826113,-9.810384,-0.012645368,0.47642252,0.41805574,35.52635,35.52635
465884658,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.046087943,0.0014160832,2.9420678e-06,-0.18790548,1.1062256,-10.184245,-0.065660186,0.7903224,0.41259494,35.526344,35.526344
465989538,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04474183,0.0014639101,3.1552863e-06,0.18928562,0.8932504,-9.509878,0.014881337,0.2989744,0.391383,35.52635,35.52635
466089566,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.045040097,0.0014995914,3.1967588e-06,0.16540521,0.720114,-9.5227995,0.04875256,-0.14449976,0.37790853,35.55936,35.55936
466193318,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04283241,0.0015011225,3.2166845e-06,-0.2907904,0.6739814,-9.972294,0.028716417,-0.1646779,0.39513397,35.673176,35.673176
466293336,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.042051777,0.0014798719,3.1485254e-06,0.005443952,1.0748171,-9.347531,-0.13276051,-0.04603136,0.4145817,35.67318,35.67318
466396061,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.043331996,0.0015156134,3.2237242e-06,0.021026352,0.4469582,-9.614246,-0.0842374,-0.062043373,0.39765012,35.673176,35.673176
466498968,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.043125514,0.001476051,3.104706e-06,0.123538435,0.7265746,-9.322181,0.06793433,-0.1334973,0.39592555,35.673176,35.673176
466601123,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.044233028,0.0014298584,2.9897988e-06,-0.17706798,0.7458311,-9.837225,-0.009148593,-0.13256124,0.40508813,35.673176,35.673176
466703979,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.044406816,0.0013966835,2.9615398e-06,0.15141925,0.6228875,-9.603138,-0.19688003,-0.24281159,0.43975595,35.673176,35.673176
