timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
167219429,0,0,0,1,0,1,1,0,1,1,1,1,0
167731292,0,0,0,1,0,1,1,0,1,1,1,1,0
168236511,0,0,0,1,0,1,1,0,1,1,1,1,0
168742474,0,0,0,1,0,1,1,0,1,1,1,1,0
169243609,0,0,0,1,0,1,1,0,1,1,1,1,0
169744869,0,0,0,1,0,1,1,0,1,1,1,1,0
170251758,0,0,0,1,0,1,1,0,1,1,1,1,0
170753529,0,0,0,1,0,1,1,0,1,1,1,1,0
171253948,0,0,0,1,0,1,1,0,1,1,1,1,0
171763917,0,0,0,1,0,1,1,0,1,1,1,1,0
172264510,0,0,0,1,0,1,1,0,1,1,1,1,0
172767138,0,0,0,1,0,1,1,0,1,1,1,1,0
173269477,0,0,0,1,0,1,1,0,1,1,1,1,0
173775473,0,0,0,1,0,1,1,0,1,1,1,1,0
174285618,0,0,0,1,0,1,1,0,1,1,1,1,0
174791516,0,0,0,1,0,1,1,0,1,1,1,1,0
175295656,0,0,0,1,0,1,1,0,1,1,1,1,0
175801510,0,0,0,1,0,1,1,0,1,1,1,1,0
176303737,0,0,0,1,0,1,1,0,1,1,1,1,0
176813887,0,0,0,1,0,1,1,0,1,1,1,1,0
177323659,0,0,0,1,0,1,1,0,1,1,1,1,0
177829475,0,0,0,1,0,1,1,0,1,1,1,1,0
178330782,0,0,0,1,0,1,1,0,1,1,1,1,0
178832606,0,0,0,1,0,1,1,0,1,1,1,1,0
179341867,0,0,0,1,0,1,1,0,1,1,1,1,0
179843678,0,0,0,1,0,1,1,0,1,1,1,1,0
180352591,0,0,0,1,0,1,1,0,1,1,1,1,0
180861532,0,0,0,1,0,1,1,0,1,1,1,1,0
181368380,0,0,0,1,0,1,1,0,1,1,1,1,0
181876505,0,0,0,1,0,1,1,0,1,1,1,1,0
182385565,0,0,0,1,0,1,1,0,1,1,1,1,0
182891188,0,0,0,1,0,1,1,0,1,1,1,1,0
183396548,0,0,0,1,0,1,1,0,1,1,1,1,0
183897656,0,0,0,1,0,1,1,0,1,1,1,1,0
184399348,0,0,0,1,0,1,1,0,1,1,1,1,0
184903113,0,0,0,1,0,1,1,0,1,1,1,1,0
185410633,0,0,0,1,0,1,1,0,1,1,1,1,0
185916140,0,0,0,1,0,1,1,0,1,1,1,1,0
186418776,0,0,0,1,0,1,1,0,1,1,1,1,0
186921541,0,0,0,1,0,1,1,0,1,1,1,1,0
187423407,0,0,0,1,0,1,1,0,1,1,1,1,0
187930729,0,0,0,1,0,1,1,0,1,1,1,1,0
188436472,0,0,0,1,0,1,1,0,1,1,1,1,0
188936852,0,0,0,1,0,1,1,0,1,1,1,1,0
189440736,0,0,0,1,0,1,1,0,1,1,1,1,0
189948533,0,0,0,1,0,1,1,0,1,1,1,1,0
190452605,0,0,0,1,0,1,1,0,1,1,1,1,0
190963687,0,0,0,1,0,1,1,0,1,1,1,1,0
191464477,0,0,0,1,0,1,1,0,1,1,1,1,0
191971040,0,0,0,1,0,1,1,0,1,1,1,1,0
192473475,0,0,0,1,0,1,1,0,1,1,1,1,0
192974476,0,0,0,1,0,1,1,0,1,1,1,1,0
193482475,0,0,0,1,0,1,1,0,1,1,1,1,0
193992511,0,0,0,1,0,1,1,0,1,1,1,1,0
194502473,0,0,0,1,0,1,1,0,1,1,1,1,0
195004572,0,0,0,1,0,1,1,0,1,1,1,1,0
195510633,0,0,0,1,0,1,1,0,1,1,1,1,0
196016488,0,0,0,1,0,1,1,0,1,1,1,1,0
196522740,0,0,0,1,0,1,1,0,1,1,1,1,0
197032505,0,0,0,1,0,1,1,0,1,1,1,1,0
197532575,0,0,0,1,0,1,1,0,1,1,1,1,0
198035969,0,0,0,1,0,1,1,0,1,1,1,1,0
198537473,0,0,0,1,0,1,1,0,1,1,1,1,0
199046553,0,0,0,1,0,1,1,0,1,1,1,1,0
199546732,0,0,0,1,0,1,1,0,1,1,1,1,0
200046879,0,0,0,1,0,1,1,0,1,1,1,1,0
200549234,0,0,0,1,0,1,1,0,1,1,1,1,0
201056652,0,0,0,1,0,1,1,0,1,1,1,1,0
201566204,0,0,0,1,0,1,1,0,1,1,1,1,0
202067249,0,0,0,1,0,1,1,0,1,1,1,1,0
202568508,0,0,0,1,0,1,1,0,1,1,1,1,0
203069677,0,0,0,1,0,1,1,0,1,1,1,1,0
203577552,0,0,0,1,0,1,1,0,1,1,1,1,0
204081474,0,0,0,1,0,1,1,0,1,1,1,1,0
204583478,0,0,0,1,0,1,1,0,1,1,1,1,0
205083810,0,0,0,1,0,1,1,0,1,1,1,1,0
205593602,0,0,0,1,0,1,1,0,1,1,1,1,0
206094476,0,0,0,1,0,1,1,0,1,1,1,1,0
206599482,0,0,0,1,0,1,1,0,1,1,1,1,0
207103163,0,0,0,1,0,1,1,0,1,1,1,1,0
207605507,0,0,0,1,0,1,1,0,1,1,1,1,0
208108512,0,0,0,1,0,1,1,0,1,1,1,1,0
208610645,0,0,0,1,0,1,1,0,1,1,1,1,0
209111593,0,0,0,1,0,1,1,0,1,1,1,1,0
209614645,0,0,0,1,0,1,1,0,1,1,1,1,0
210115518,0,0,0,1,0,1,1,0,1,1,1,1,0
210626472,0,0,0,1,0,1,1,0,1,1,1,1,0
