time, x, y, z
44.52,-1.015161,0.08546808,0.0470733
44.62,-1.015164,0.08548477,0.0470628
44.72,-1.015153,0.08546683,0.0470662
44.82,-1.015169,0.08548626,0.0470666
44.92,-1.015169,0.08548811,0.0470600
45.02,-1.01517,0.08547214,0.0470609
45.12,-1.015187,0.0854955,0.0470666
45.22,-1.015173,0.08545277,0.0470585
45.32,-1.015187,0.08547696,0.0470719
45.42,-1.015158,0.08546147,0.0470647
45.52,-1.015189,0.08549204,0.0470747
45.62,-1.01517,0.08545813,0.0470647
45.72,-1.015167,0.08548006,0.0470690
45.82,-1.015183,0.08548912,0.047068
45.92,-1.015166,0.08548161,0.0470633
46.02,-1.015171,0.08549049,0.047068
46.12,-1.015159,0.0854657,0.0470681
46.22,-1.015178,0.08549407,0.0470714
46.32,-1.01516,0.08549127,0.0470576
46.42,-1.015185,0.0855082,0.0470509
46.52,-1.015167,0.08546832,0.0470681
46.62,-1.015176,0.08548436,0.0470604
46.72,-1.015154,0.08548102,0.0470628
46.82,-1.01516,0.08549008,0.047062
46.92,-1.01517,0.08550301,0.0470752
47.02,-1.015157,0.0854921,0.0470652
47.12,-1.015183,0.08550689,0.0470676
47.22,-1.015162,0.08549014,0.0470619
47.32,-1.015154,0.08549485,0.0470666
47.42,-1.015144,0.08547661,0.047064
47.52,-1.015177,0.08550432,0.0470690
47.62,-1.015173,0.08550712,0.0470690
47.72,-1.015162,0.0855051,0.0470719
47.82,-1.015175,0.08550003,0.0470585
47.92,-1.015182,0.08550104,0.047064
48.02,-1.015182,0.08549544,0.0470743
48.12,-1.015183,0.08550176,0.0470628
48.22,-1.015194,0.08549252,0.0470638
48.32,-1.015192,0.08549622,0.0470657
48.42,-1.015185,0.08549765,0.0470695
48.52,-1.015189,0.08549926,0.047064
48.62,-1.015171,0.08548871,0.047064
48.72,-1.015181,0.08549902,0.047070
48.82,-1.015199,0.08550259,0.0470647
48.92,-1.01518,0.08548644,0.0470628
49.02,-1.01517,0.08549502,0.0470604
49.12,-1.015186,0.08551297,0.0470666
49.22,-1.015184,0.08550802,0.0470514
49.32,-1.015172,0.08549324,0.0470542
49.42,-1.01519,0.08550391,0.0470547
49.52,-1.015177,0.085511,0.0470519
49.62,-1.015162,0.08549175,0.0470652
49.72,-1.015203,0.08552179,0.0470571
49.82,-1.01519,0.08549759,0.0470662
49.92,-1.015207,0.08553496,0.047062
50.02,-1.015175,0.08545968,0.0470619
50.12,-1.015205,0.08552185,0.0470609
50.22,-1.015177,0.08547041,0.047068
50.32,-1.015203,0.08548787,0.0470557
50.42,-1.01517,0.08547851,0.0470666
50.52,-1.015195,0.08548483,0.0470647
50.62,-1.015185,0.08549216,0.0470552
50.72,-1.015182,0.08547553,0.0470619
50.82,-1.015173,0.0854871,0.0470614
50.92,-1.015173,0.08547947,0.0470662
51.02,-1.015181,0.08549276,0.0470662
51.12,-1.015175,0.08548304,0.0470523
51.22,-1.015183,0.08547458,0.0470662
51.32,-1.015183,0.08548406,0.047064
51.42,-1.015174,0.08548,0.0470738
51.52,-1.015161,0.08548453,0.0470528
51.62,-1.015173,0.08549264,0.0470590
51.72,-1.015177,0.08550003,0.0470638
51.82,-1.015177,0.08548763,0.0470633
51.92,-1.01518,0.08547899,0.0470676
52.02,-1.015177,0.08548883,0.0470585
52.12,-1.015184,0.08549187,0.0470523
52.22,-1.015168,0.08545801,0.0470590
52.32,-1.015178,0.08549365,0.0470590
52.42,-1.015162,0.08549049,0.0470619
52.52,-1.015167,0.08546856,0.047064
52.62,-1.015183,0.0855116,0.0470628
52.72,-1.015179,0.08547011,0.0470700
52.82,-1.015191,0.08552572,0.0470609
52.92,-1.015183,0.08546969,0.0470690
53.02,-1.015192,0.08548942,0.0470657
53.12,-1.015175,0.08546558,0.0470662
53.22,-1.015182,0.08547822,0.0470538
53.32,-1.015175,0.08547112,0.0470609
53.42,-1.015176,0.08547959,0.0470595
53.52,-1.01516,0.08545128,0.0470700
53.62,-1.015197,0.08548251,0.0470652
53.72,-1.015175,0.08546349,0.0470619
53.82,-1.015172,0.08546612,0.047068
53.92,-1.015182,0.08548376,0.047068
54.02,-1.015174,0.08546349,0.0470647
54.12,-1.015183,0.08547369,0.0470690
54.22,-1.015172,0.08547166,0.0470733
54.32,-1.015181,0.08547255,0.0470709
54.42,-1.015193,0.08548221,0.047064
54.52,-1.015189,0.08545968,0.0470581
54.62,-1.015183,0.08548781,0.0470638
54.72,-1.01517,0.08547559,0.0470619
54.82,-1.015183,0.0854837,0.0470728
54.92,-1.015165,0.08547977,0.0470633
55.02,-1.015173,0.08547661,0.0470638
55.12,-1.015176,0.08548686,0.0470657
55.22,-1.015171,0.08547112,0.0470781
55.32,-1.015189,0.08549967,0.0470781
55.42,-1.015174,0.08548686,0.0470676
55.52,-1.015181,0.08550057,0.0470709
55.62,-1.015165,0.08548853,0.0470638
55.72,-1.015165,0.08550158,0.047068
55.82,-1.015169,0.08548722,0.0470662
55.92,-1.015172,0.08550003,0.0470695
56.02,-1.015179,0.08551022,0.0470604
56.12,-1.015164,0.08548412,0.0470571
56.22,-1.015176,0.08549252,0.0470676
56.32,-1.015175,0.08548835,0.0470681
56.42,-1.015186,0.0855107,0.0470695
56.52,-1.015174,0.08546177,0.0470619
56.62,-1.015169,0.08549979,0.047064
56.72,-1.015169,0.08546808,0.0470609
56.82,-1.015182,0.08548734,0.0470690
56.92,-1.015187,0.0855045,0.0470547
57.02,-1.015167,0.08548775,0.047068
57.12,-1.015188,0.08551791,0.0470647
57.22,-1.015161,0.08548573,0.0470762
57.32,-1.015182,0.08550015,0.0470581
57.42,-1.015161,0.08547029,0.047070
57.52,-1.015174,0.08548722,0.0470638
57.62,-1.015171,0.08548716,0.0470724
57.72,-1.015162,0.08549467,0.047070
57.82,-1.015179,0.08548859,0.0470743
57.92,-1.015169,0.08549133,0.0470600
58.02,-1.015178,0.08551505,0.0470728
58.12,-1.01515,0.08547905,0.0470547
58.22,-1.015162,0.08549783,0.047068
58.32,-1.015154,0.08545271,0.0470681
58.42,-1.01518,0.08550677,0.0470614
58.52,-1.015158,0.08549258,0.0470547
58.62,-1.015163,0.08551273,0.0470614
58.72,-1.015147,0.08547732,0.0470557
58.82,-1.015158,0.08549187,0.0470628
58.92,-1.015146,0.08547017,0.047068
59.02,-1.015162,0.08552769,0.0470528
59.12,-1.01516,0.08550557,0.0470619
59.22,-1.01514,0.08547863,0.0470547
59.32,-1.015159,0.08549938,0.047068
59.42,-1.015129,0.0854809,0.0470581
59.52,-1.015161,0.08550784,0.0470657
59.62,-1.015172,0.08551726,0.0470652
59.72,-1.015149,0.08550301,0.0470662
59.82,-1.015155,0.08549872,0.0470724
59.92,-1.015125,0.08547273,0.0470514
60.02,-1.015157,0.08551714,0.0470666
60.12,-1.015139,0.08550051,0.0470619
60.22,-1.015154,0.08552572,0.0470657
60.32,-1.015132,0.08548513,0.0470638
60.42,-1.01515,0.08549955,0.0470714
60.52,-1.01514,0.08550879,0.0470728
60.62,-1.015138,0.08549425,0.0470709
60.72,-1.015141,0.08553097,0.0470585
60.82,-1.015132,0.08551231,0.0470633
60.92,-1.015132,0.08552626,0.0470557
61.02,-1.015118,0.08551338,0.0470657
61.12,-1.015122,0.08551577,0.0470504
61.22,-1.015118,0.08551177,0.0470542
61.32,-1.015131,0.08554468,0.0470657
61.42,-1.015117,0.08548871,0.0470566
61.52,-1.01513,0.08551529,0.0470609
61.62,-1.015134,0.08550975,0.0470662
61.72,-1.015137,0.08550426,0.0470676
61.82,-1.015138,0.08552244,0.0470781
61.92,-1.015114,0.08550516,0.0470600
62.02,-1.015138,0.08554515,0.0470571
62.12,-1.015113,0.08549967,0.0470652
62.22,-1.015133,0.08551088,0.0470695
62.32,-1.015139,0.08551463,0.047076
62.42,-1.015137,0.08551475,0.0470633
62.52,-1.015145,0.08552393,0.047076
62.62,-1.015119,0.08548692,0.0470752
62.72,-1.015162,0.08553275,0.0470738
62.82,-1.015112,0.085489,0.0470657
62.92,-1.015142,0.08550468,0.047068
63.02,-1.015113,0.08549604,0.0470652
63.12,-1.015135,0.08552161,0.0470571
63.22,-1.015128,0.08550069,0.0470757
63.32,-1.015161,0.08551899,0.0470647
63.42,-1.015131,0.08551392,0.0470595
63.52,-1.01515,0.08551911,0.0470690
63.62,-1.015121,0.08547911,0.0470738
63.72,-1.015138,0.08551082,0.0470724
63.82,-1.015142,0.08549741,0.0470771
63.92,-1.015165,0.08552369,0.0470771
64.02,-1.015113,0.08546242,0.0470786
