time, x, y, z
6.52,-0.646227,1.24,14.6
6.62,-0.646227,1.24,14.6
6.72,-0.646227,1.24,14.6
6.82,-0.646227,1.24,14.6
6.92,-0.646227,1.24,14.6
7.02,-0.646227,1.24,14.6
7.12,-0.646227,1.24,14.6
7.22,-0.646227,1.24,14.6
7.32,-0.646227,1.24,14.6
7.42,-0.646227,1.24,14.6
7.52,-0.646227,1.24,14.6
7.62,-0.646227,1.24,14.6
7.72,-0.646227,1.24,14.6
7.82,-0.646227,1.24,14.6
7.92,-0.646227,1.24,14.6
8.02,-0.646227,1.24,14.6
8.12,-0.646227,1.24,14.6
8.22,-0.646227,1.24,14.6
8.32,-0.646227,1.24,14.6
8.42,-0.646227,1.24,14.6
8.52,-0.646227,1.24,14.6
8.62,-0.646227,1.24,14.6
8.72,-0.646227,1.24,14.6
8.82,-0.646227,1.24,14.6
8.92,-0.646227,1.24,14.6
9.02,-0.646227,1.24,14.6
9.12,-0.646227,1.24,14.6
9.22,-0.646227,1.24,14.6
9.32,-0.646227,1.24,14.6
9.42,-0.646227,1.24,14.6
9.52,-0.646227,1.24,14.6
9.62,-0.646227,1.24,14.6
9.719999,-0.646227,1.24,14.6
9.82,-0.646227,1.24,14.6
9.92,-0.646227,1.24,14.6
10.02,-0.646227,1.24,14.6
10.12,-0.646227,1.24,14.6
10.22,-0.646227,1.24,14.6
10.32,-0.646227,1.24,14.6
10.42,-0.646227,1.24,14.6
10.52,-0.646227,1.24,14.6
10.62,-0.646227,1.24,14.6
10.72,-0.646227,1.24,14.6
10.82,-0.646227,1.24,14.6
10.92,-0.646227,1.24,14.6
11.02,-0.646227,1.24,14.6
11.12,-0.646227,1.24,14.6
11.22,-0.646227,1.24,14.6
11.32,-0.646227,1.24,14.6
11.42,-0.646227,1.24,14.6
11.52,-0.646227,1.24,14.6
11.62,-0.646227,1.24,14.6
11.72,-0.646227,1.24,14.6
11.82,-0.646227,1.24,14.6
11.92,-0.646227,1.24,14.6
12.02,-0.646227,1.24,14.6
12.12,-0.646227,1.24,14.6
12.22,-0.646227,1.24,14.6
12.32,-0.646227,1.24,14.6
12.42,-0.646227,1.24,14.6
12.52,-0.646227,1.24,14.6
12.62,-0.646227,1.24,14.6
12.72,-0.646227,1.24,14.6
12.82,-0.646227,1.24,14.6
12.92,-0.646227,1.24,14.6
13.02,-0.646227,1.24,14.6
13.12,-0.646227,1.24,14.6
13.22,-0.646227,1.24,14.6
13.32,-0.646227,1.24,14.6
13.42,-0.646227,1.24,14.6
13.52,-0.646227,1.24,14.6
13.62,-0.646227,1.24,14.6
13.72,-0.646227,1.24,14.6
13.82,-0.646227,1.24,14.6
13.92,-0.646227,1.24,14.6
14.02,-0.646227,1.24,14.6
14.12,-0.646227,1.24,14.6
14.22,-0.646227,1.24,14.6
14.32,-0.646227,1.24,14.6
14.42,-0.646227,1.24,14.6
14.52,-0.646227,1.24,14.6
14.62,-0.646227,1.24,14.6
14.72,-0.646227,1.24,14.6
14.82,-0.646227,1.24,14.6
14.92,-0.646227,1.24,14.6
15.02,-0.646227,1.24,14.6
15.12,-0.646227,1.24,14.6
15.22,-0.646227,1.24,14.6
15.32,-0.646227,1.24,14.6
15.42,-0.646227,1.24,14.6
15.52,-0.646227,1.24,14.6
15.62,-0.646227,1.24,14.6
15.72,-0.646227,1.24,14.6
15.82,-0.646227,1.24,14.6
15.92,-0.646227,1.24,14.6
16.02,-0.646227,1.24,14.6
16.12,-0.646227,1.24,14.6
16.22,-0.646227,1.24,14.6
16.32,-0.646227,1.24,14.6
16.42,-0.646227,1.24,14.6
16.52,-0.646227,1.24,14.6
16.62,-0.646227,1.24,14.6
16.72,-0.646227,1.24,14.6
16.82,-0.646227,1.24,14.6
16.92,-0.646227,1.24,14.6
17.02,-0.646227,1.24,14.6
17.12,-0.646227,1.24,14.6
17.22,-0.646227,1.24,14.6
17.32,-0.646227,1.24,14.6
17.42,-0.646227,1.24,14.6
17.52,-0.646227,1.24,14.6
17.62,-0.646227,1.24,14.6
